contrast_0,homogeneity_0,correlation_0,contrast_45,contrast_90,label
1086.2485714285715,0.3626965694492599,-23168.952311255547,765.4982144679113,675.5629591836735,A
1305.854948453608,0.3397802056981244,-23491.61943848978,1241.8497501041231,863.4221649484537,A
1557.816979166667,0.3183349499177521,-23823.276265198645,1522.5515995323626,1011.5211458333334,A
1648.3044210526316,0.2975487228591548,-24163.46742855673,1700.0659722222222,1109.1347368421054,A
695.3323232323232,0.4110360362103011,-22359.341537388627,941.83205795327,382.2094949494949,A
1297.5716326530612,0.3526989778925757,-22663.922374887625,941.83205795327,837.7625510204083,A
1574.2513402061857,0.3225359081085719,-22977.750975360897,1525.1288004997916,1066.0361855670103,A
1915.4961458333337,0.3007492570319231,-23299.024190690867,1892.0893825061116,1260.5026041666663,A
2051.775894736842,0.2808103686355805,-23627.279774059563,2114.958767361111,1389.9554736842103,A
521.5228282828284,0.4232044622714743,-22779.91598958736,720.3446587082951,303.4365656565656,A
983.8566326530612,0.3665498486295613,-23088.98439267789,720.3446587082951,650.159693877551,A
1164.7329896907218,0.3431361860692379,-23407.94604319553,1145.0112453144525,827.0823711340206,A
1405.098125,0.3220544293584295,-23733.917614278493,1420.5733871824848,966.6114583333334,A
1510.3362105263157,0.3031606566413898,-24066.87684027772,1602.1024305555554,1060.494,A
599.8117171717171,0.4093136959261162,-23155.82961532419,846.6353433323129,358.3219191919192,A
1137.523775510204,0.3519441085952532,-23472.100600933947,846.6353433323129,786.5517346938774,A
1317.580824742268,0.3262903567370895,-23798.764895396467,1362.396917950854,1009.1686597938144,A
1583.4380208333334,0.3040463250403885,-24135.812321592733,1665.7702200021254,1179.8240625,A
1717.2436842105262,0.2894017050976961,-24476.233013216355,1846.718532986111,1284.5203157894737,A
618.359898989899,0.406962095522792,-23337.49915540315,875.0987654320988,367.4650505050504,A
1169.23,0.354620141085831,-23657.69088468507,875.0987654320988,802.0168367346938,A
1369.189587628866,0.3284335272479228,-23988.05882653221,1396.0933985839235,1026.650412371134,A
1646.9420833333334,0.3081236479339253,-24329.26847307269,1697.233712403019,1208.1917708333335,A
1788.9677894736842,0.2898243723336655,-24677.263541388194,1894.9033203125,1319.375157894737,A
413.9266666666667,0.4954333660469243,-16375.791230597231,617.0729517396184,322.7977777777778,A
836.3273469387756,0.4494818258602279,-16585.439434838867,617.0729517396184,678.2261224489796,A
1016.4115463917526,0.4225269483642245,-16800.36589166154,1066.6576426488966,848.6701030927836,A
1202.4918750000002,0.4004922697278267,-17020.337746272682,1279.643107662876,1008.2383333333336,A
1317.163684210526,0.3819629434992824,-17244.16231680998,1397.7408854166667,1113.667894736842,A
410.8244444444444,0.4679526801749912,-18879.29283785597,644.744311804918,316.86010101010095,A
797.7574489795918,0.4106294484259036,-19126.23175692556,644.744311804918,654.4131632653061,A
965.7548453608248,0.3829365875979427,-19379.943404889105,1020.0256143273637,797.1687628865978,A
1146.9872916666668,0.3623902134581088,-19639.989528645427,1238.760442129876,932.8916666666668,A
1223.906631578947,0.3427125748743601,-19903.69433575138,1353.2788628472222,1033.3023157894738,A
387.83656565656565,0.4666550481747423,-18663.59157775586,602.7756351392715,292.91636363636354,A
754.0732653061225,0.4075778735821173,-18907.875313177963,602.7756351392715,613.0334693877551,A
917.5749484536084,0.3831677502872507,-19158.325738424708,974.2921699291962,756.1068041237114,A
1081.7223958333334,0.3644298112159074,-19414.627916347847,1181.935062174514,874.8258333333333,A
1146.6766315789473,0.344381326143556,-19676.94061231468,1281.0333116319446,969.3048421052632,A
417.08242424242417,0.4612073426393487,-19082.78863510317,651.8606264666871,315.6731313131313,A
820.7891836734694,0.4021444674675669,-19332.88601036822,651.8606264666871,647.8333673469388,A
1001.7190721649486,0.3807496582970578,-19590.02134669629,1034.8505830903791,794.3961855670102,A
1188.1759375,0.3563307825463425,-19854.992385409503,1281.0806674460623,932.1755208333336,A
1270.6572631578947,0.3377654269753073,-20124.882362922188,1416.1851128472224,1038.8829473684211,A
355.41929292929296,0.4598947953668584,-18566.212807751144,570.805019895929,280.99242424242425,A
698.4076530612246,0.4041764485927313,-18807.49349489508,570.805019895929,578.0804081632654,A
859.7373195876289,0.3757668453479523,-19053.79580471724,908.6198458975427,718.1773195876289,A
1018.5777083333334,0.3550709558909979,-19306.5189617425,1120.989053034329,849.5955208333332,A
1087.789052631579,0.3328941614470912,-19564.92234098947,1239.8870442708337,943.3403157894736,A
394.909494949495,0.4595157888487347,-19081.8684356185,608.1629425568821,288.17080808080806,A
765.3047959183673,0.4021039266842511,-19332.72773096673,608.1629425568821,613.9943877551019,A
925.9016494845364,0.3727144177839267,-19589.779966469658,977.3985839233652,753.7795876288661,A
